"id","question","answer","category","sortOrder","isActive","createdBy","createdAt","updatedAt","isFeatured"
"0ea11e72-534d-4f35-90aa-8c952f0c539c","How is my shipping cost calculated?","Your shipping cost is determined by the zone between origin and destination cities, and the weight of your package...","PRICING","0","true","ff680375-fbdb-4543-9b1d-f22c21513933","2026-05-11 13:34:14.427","2026-05-11 13:34:14.427","false"
"58779a2b-2f05-4632-ae48-caef3e18330d","Can I insure my shipment?","Yes — add insurance at checkout. Premium is 2.5% of declared goods value, minimum ₦100.","SHIPPING_RULES","4","true",,"2026-06-22 22:00:33.278","2026-06-22 22:00:33.278","true"
"706f2dbb-da42-41a5-9d67-f29a86ea93ed","How do I file a claim for a damaged shipment?","Go to My Support → Claims in your dashboard, fill in the claim form, and upload photos of the damage. Claims must be filed within 48 hours of delivery.","CLAIMS","8","true",,"2026-06-22 22:00:37.176","2026-06-22 22:00:37.176","false"
"70e55439-ce0d-40be-a411-5f1c7371ce9d","What is the maximum weight per shipment?","Standard shipments can be up to 2,000 kg. For heavier freight, contact us for a custom quote.","SHIPPING_RULES","9","true",,"2026-06-22 22:00:38.253","2026-06-22 22:00:38.253","false"
"7d4c0267-4719-45dc-9145-9e4c410bfec5","Do you offer packaging materials?","Yes — boxes of various sizes (S to XL), pallet boxes, and laptop/electronics packaging are available at our pickup centres.","PACKAGING","10","true",,"2026-06-22 22:00:38.809","2026-06-22 22:00:38.809","false"
"8e1e31ee-69b4-444f-bc6e-472f6b375c29","How do I create an account?","Click ""Sign Up"" on the homepage, fill in your name, email, and password. You will receive an OTP to verify your email before logging in.","ACCOUNT","6","true",,"2026-06-22 22:00:35.443","2026-06-22 22:00:35.443","false"
"9621eb58-2417-46d7-aa47-4a34e0927ee3","What payment methods do you accept?","We accept card payments (Visa, Mastercard) via Paystack, bank transfers, and USSD. Cash and POS are accepted at pickup for offline bookings.","PAYMENTS","5","true",,"2026-06-22 22:00:34.357","2026-06-22 22:00:34.357","false"
"b4a9576c-474a-4de0-bf86-31143ac2ff81","How is shipping cost calculated?","Cost is based on origin, destination, zone, and billable weight (higher of actual or volumetric weight).","PRICING","2","true",,"2026-06-22 22:00:31.585","2026-06-22 22:00:31.585","true"
"df474547-1e24-4a45-aa77-24697c24e0ea","What items are prohibited?","We do not ship hazardous materials, firearms, live animals, perishable goods without proper packaging, or items banned by Nigerian law.","SHIPPING_RULES","7","true",,"2026-06-22 22:00:36.015","2026-06-22 22:00:36.015","false"
"e375dd7a-4b75-4a2f-900e-de3b4991c1be","How do I track my shipment?","Enter your tracking number on the Track page or homepage. No login required — tracking is public.","TRACKING","1","true",,"2026-06-22 22:00:30.13","2026-06-22 22:00:30.13","true"
"e75da0f7-7f4a-4e4c-aeab-471953460001","How is my shipping cost calculated?","it is determine base on zone","SHIPPING_RULES","2","true","ff680375-fbdb-4543-9b1d-f22c21513933","2026-05-11 19:42:33.98","2026-05-11 19:42:33.98","false"
"fa532f22-15e4-40d8-adb3-17bcef6eac1b","What is Express vs Standard vs Economy?","Express is 1–3 business days. Standard is 5–7 business days. Economy is 10–14 business days. All tiers include live tracking.","SHIPPING_RULES","3","true",,"2026-06-22 22:00:32.705","2026-06-22 22:00:32.705","true"
